,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,treatment
M1,21.34242,21.21705,20.63085,29.1706,28.89094,28.11434,28.584,28.0426,27.66269,29.05558,29.22104,28.56309,34.60949,33.10081,30.43599,32.27361,32.12638,32.18899,30.92997,30.92596,31.37355,32.13437,32.2208,31.18812,31.1084,29.90312,30.09659,31.20604,31.11777,30.25594,31.12576,31.66464,30.51956,30.96194,30.098,29.02528,31.93421,32.19564,30.12786,31.50626,30.82236,29.78219,saline
M2,20.79164,20.77898,20.18613,27.8462,27.91225,27.01189,27.12786,26.68279,26.0305,27.28349,27.60609,26.96389,NaN,33.74118,29.71715,32.67871,31.14053,29.58068,30.11265,29.867,29.2609,28.3716,28.48901,27.44209,29.1762,28.85992,28.26332,30.28885,29.85416,29.46075,30.13568,30.44374,29.52383,29.12888,28.89665,28.05643,32.59581,30.10129,28.79013,29.71471,29.41767,28.30704,fent
M3,23.70562,23.46287,22.92594,29.12223,29.2102,28.33929,28.58954,28.21957,27.23135,28.01912,28.0834,27.83734,35.43845,NaN,32.27065,32.65119,32.0895,31.52722,29.98637,29.9434,29.23895,31.44252,31.17643,30.80135,30.7358,30.75916,30.38626,29.68679,30.36721,29.62133,30.56331,30.00308,29.26923,29.81309,29.21998,28.72488,31.68471,30.74668,29.1579,32.14604,32.65154,31.48453,saline
M4,20.43327,20.41546,19.66096,28.17942,27.8872,27.1994,27.58738,27.46595,26.53173,28.75105,28.64278,28.11899,32.60154,31.38989,30.50775,34.76104,33.68924,31.52234,32.01523,31.04841,31.22169,28.42512,28.22535,27.16407,28.54894,28.62289,27.98019,31.13746,30.6136,29.5769,31.24021,31.21296,30.70435,29.49456,29.36192,28.8047,31.73671,31.91813,29.58076,30.05931,29.82777,28.71509,saline
M5,21.07258,20.90592,20.36231,28.88872,28.55539,27.41107,27.77357,27.23356,26.43979,28.31202,28.11504,27.34024,34.55408,32.40756,31.01546,33.9301,31.9281,30.30624,29.92349,29.91356,29.4984,28.87429,28.70934,28.16973,30.31881,30.1437,29.27517,31.05224,30.12149,29.49682,30.53549,30.24462,29.1633,29.74873,29.21616,28.59049,30.57024,30.40602,29.17527,30.54948,30.54764,28.88128,fent
M6,21.17897,20.95564,20.39772,28.45161,28.5912,27.90177,27.88167,27.8534,26.81519,28.49188,28.32258,27.53708,32.85874,33.3614,32.22578,37.62453,34.45454,29.81379,29.98998,30.15776,29.70911,27.94205,27.92375,27.33544,29.94069,29.7439,28.9907,30.92371,30.9502,29.79202,30.46425,31.5589,30.31624,29.78107,28.57028,27.94665,34.5758,33.66707,29.91477,30.69175,30.1536,28.50992,fent
